FILE	PREFIX	METHOD	PATH	FUNC
agendamento_controller.py	/agendamentos	POST	/	UNKNOWN
agendamento_controller.py	/agendamentos	GET	/	UNKNOWN
agendamento_controller.py	/agendamentos	GET	/{agendamento_id}	UNKNOWN
agendamento_controller.py	/agendamentos	PUT	/{agendamento_id}	UNKNOWN
agendamento_controller.py	/agendamentos	PATCH	/{agendamento_id}/data	UNKNOWN
agendamento_controller.py	/agendamentos	PATCH	/{agendamento_id}/cancelar	UNKNOWN
agendamento_controller.py	/agendamentos	DELETE	/{agendamento_id}	UNKNOWN
agendamento_controller.py	/agendamentos	GET	/cliente/{cliente_id}	UNKNOWN
agendamento_controller.py	/agendamentos	GET	/veiculo/{veiculo_id}	UNKNOWN
auth_controller.py	/auth	POST	/login	UNKNOWN
auth_controller.py	/auth	POST	/register	UNKNOWN
auth_controller.py	/auth	POST	/google	UNKNOWN
auth_controller.py	/auth	GET	/me	UNKNOWN
endereco_controller.py	/enderecos	GET		UNKNOWN
endereco_controller.py	/enderecos	POST		UNKNOWN
endereco_controller.py	/enderecos	GET	/{endereco_id}	UNKNOWN
endereco_controller.py	/enderecos	PATCH	/{endereco_id}	UNKNOWN
endereco_controller.py	/enderecos	DELETE	/{endereco_id}	UNKNOWN
marca_controller.py	/api/marcas	GET		UNKNOWN
marca_controller.py	/api/marcas	POST		UNKNOWN
marca_controller.py	/api/marcas	GET	/{marca_id}	UNKNOWN
marca_controller.py	/api/marcas	PATCH	/{marca_id}	UNKNOWN
marca_controller.py	/api/marcas	DELETE	/{marca_id}	UNKNOWN
me_controller.py	/api/me	GET	/profile	UNKNOWN
me_controller.py	/api/me	PATCH	/profile	UNKNOWN
me_controller.py	/api/me	GET	/enderecos	UNKNOWN
me_controller.py	/api/me	POST	/enderecos	UNKNOWN
me_controller.py	/api/me	GET	/enderecos/{endereco_id}	UNKNOWN
me_controller.py	/api/me	PATCH	/enderecos/{endereco_id}	UNKNOWN
me_controller.py	/api/me	GET	/veiculos	UNKNOWN
me_controller.py	/api/me	POST	/veiculos	UNKNOWN
me_controller.py	/api/me	GET	/veiculos/{veiculo_id}	UNKNOWN
me_controller.py	/api/me	PATCH	/veiculos/{veiculo_id}	UNKNOWN
modelo_controller.py	/api/modelos	GET		UNKNOWN
modelo_controller.py	/api/modelos	POST		UNKNOWN
modelo_controller.py	/api/modelos	GET	/{modelo_id}	UNKNOWN
modelo_controller.py	/api/modelos	GET	/marca/{marca_id}	UNKNOWN
modelo_controller.py	/api/modelos	PATCH	/{modelo_id}	UNKNOWN
modelo_controller.py	/api/modelos	DELETE	/{modelo_id}	UNKNOWN
movimentacao_estoque_controller.py	/movimentacoes-estoque	POST	/entrada	UNKNOWN
movimentacao_estoque_controller.py	/movimentacoes-estoque	POST	/saida	UNKNOWN
movimentacao_estoque_controller.py	/movimentacoes-estoque	GET	/	UNKNOWN
movimentacao_estoque_controller.py	/movimentacoes-estoque	GET	/tipo/{tipo}	UNKNOWN
movimentacao_estoque_controller.py	/movimentacoes-estoque	GET	/peca/{peca_id}	UNKNOWN
movimentacao_estoque_controller.py	/movimentacoes-estoque	GET	/peca/{peca_id}/historico	UNKNOWN
movimentacao_estoque_controller.py	/movimentacoes-estoque	GET	/peca/{peca_id}/ultima	UNKNOWN
movimentacao_financeira_controller.py	/movimentacoes-financeiras	POST	/entrada	UNKNOWN
movimentacao_financeira_controller.py	/movimentacoes-financeiras	POST	/saida	UNKNOWN
movimentacao_financeira_controller.py	/movimentacoes-financeiras	GET	/	UNKNOWN
movimentacao_financeira_controller.py	/movimentacoes-financeiras	GET	/tipo/{tipo}	UNKNOWN
movimentacao_financeira_controller.py	/movimentacoes-financeiras	POST	/periodo	UNKNOWN
movimentacao_financeira_controller.py	/movimentacoes-financeiras	GET	/{movimentacao_id}	UNKNOWN
movimentacao_financeira_controller.py	/movimentacoes-financeiras	GET	/pagamento/{pagamento_id}	UNKNOWN
movimentacao_financeira_controller.py	/movimentacoes-financeiras	POST	/periodo/saldo	UNKNOWN
movimentacao_financeira_controller.py	/movimentacoes-financeiras	GET	/resumo	UNKNOWN
orcamento_approval_controller.py	/orcamentos/{orcamento_id}/aprovacao	POST	/aprovar	UNKNOWN
orcamento_approval_controller.py	/orcamentos/{orcamento_id}/aprovacao	POST	/rejeitar	UNKNOWN
orcamento_approval_controller.py	/orcamentos/{orcamento_id}/aprovacao	GET	/ordens	UNKNOWN
orcamento_controller.py	/orcamentos	POST	/	UNKNOWN
orcamento_controller.py	/orcamentos	GET	/	UNKNOWN
orcamento_controller.py	/orcamentos	GET	/{orcamento_id}	UNKNOWN
orcamento_controller.py	/orcamentos	PUT	/{orcamento_id}	UNKNOWN
orcamento_controller.py	/orcamentos	PATCH	/{orcamento_id}/status	UNKNOWN
orcamento_controller.py	/orcamentos	DELETE	/{orcamento_id}	UNKNOWN
orcamento_controller.py	/orcamentos	GET	/usuario/{usuario_id}	UNKNOWN
orcamento_controller.py	/orcamentos	GET	/veiculo/{veiculo_id}	UNKNOWN
orcamento_item_controller.py	/orcamentos/{orcamento_id}/itens	POST	/pecas	UNKNOWN
orcamento_item_controller.py	/orcamentos/{orcamento_id}/itens	GET	/pecas	UNKNOWN
